city,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Istanbul,0.011325246096390539,0.003122056023040886,0.008580586869058082,0.003639063573316839,0.003952568755477133,0.009931320409866027,0.0035911441960985355,0.0047615154563462716,0.02616475633386631,0.011563180567600216,0.010403147456037652,0.028060939130923394
Lisbon,0.025876670348168904,0.00788824605244621,0.0195726977580724,0.00915734480937132,0.035144324152007855,0.013919265602608838,0.007355027907995324,0.012978644476274672,0.020792907603988976,0.01273212963670162,0.03377643949155187,0.06761745637027669
London,0.023480821935074777,0.008344789882291008,0.016090403711684905,0.011530744622312964,0.016785432034413773,0.015928768200738623,0.009555943483985306,0.013611510010594095,0.02466959397455953,0.01297315352529659,0.011890386210742695,0.04548503571764296
Lyon,0.013660940989238262,0.010562193226362532,0.018353696194677586,0.011839574960351656,0.015733260970984153,0.05253544386038271,0.056282762099166876,0.0679160658110617,0.0679158285615377,0.04549064545570423,0.012364504258988909,0.06412088559354194
Madrid,0.03690782786950437,0.023539428585898477,0.04070634926599759,0.0284968870516309,0.04533492446631101,0.028035132796703017,0.02503951849828289,0.019586906550403207,0.05915754216696542,0.055061900228107016,0.03730335406393408,0.07290786155615128
Malaga,0.028331189147676853,0.03539717030284546,0.08538849110595444,0.018884709074301342,0.017533945477930926,0.01952918340270002,0.012056093766446868,0.044950917376413914,0.05414812663358948,0.04341907828942815,0.02404221842652159,0.08222574792112598
Mallorca,0.010452041200459897,0.0018787874349615904,0.011726030684275109,0.002452793425516936,0.0036808772958996814,0.004469137477576079,0.00411508564654587,0.005326039382252709,0.04590297876791776,0.020479541302656497,0.003909892626344104,0.019485074061274386
Menorca,0.004022616601939423,0.016065085134101455,0.008833181945387522,0.018667882560258316,0.004979380378193062,0.028814318927990867,0.0077236314110499665,0.00967955179446708,0.0757684729055885,0.028577828898469673,0.01986574428022064,0.01850755305031433
Milan,0.024108795006709875,0.017833770662951384,0.020577887731305703,0.09681038947711847,0.010005717996053333,0.010192267081068152,0.029796983587297248,0.01523989377304827,0.0542151563195626,0.031245090746041065,0.020181756509932307,0.054797072043971225
Munich,0.012831615693775257,0.007761556792349408,0.028797514522922823,0.01033049179829499,0.02034949594361186,0.036140879387052335,0.0334217924306925,0.03235001443242893,0.1377777718739065,0.049363031916979674,0.009031437654879565,0.03275344642373629
Naples,0.03786872145010767,0.007754980812077605,0.019531437681405694,0.011017612324718071,0.008713408504222926,0.008063058762420758,0.006291087461454033,0.007808074941164237,0.0711023068186819,0.04147847056213161,0.021264235231561807,0.04937979567185685
Oslo,0.010218168530235676,0.01047912725314915,0.015014331765868529,0.0092086477138752,0.010079802362423174,0.016902322618594486,0.00900324870488541,0.011838727907874392,0.021510629477643886,0.012488452009303595,0.010321385318262573,0.012283031942246087
Paris,0.017392303105607666,0.00721073771362588,0.011829919650702958,0.008483884392797677,0.013365136373730597,0.008800239863407399,0.1390959763392049,0.15038495673243876,0.07752123112607753,0.03886964777587786,0.013198477436018418,0.044495444312101125
Porto,0.023864571732127138,0.016698169360077397,0.026706305858554383,0.010033081264102831,0.011722629339523734,0.03480999138195539,0.006850404969455253,0.01612239495982864,0.08403650825478647,0.013868918386439373,0.01790571607750275,0.07220677790460489
Prague,0.10869824310763905,0.03478482239521903,0.07994674668887299,0.05289572672963457,0.06251595954978832,0.05145033250555212,0.03740106721295092,0.034501038550544365,0.14671754633158454,0.05985129804171142,0.053278944771619076,0.19466468320939695
Puglia,0.006867787657257845,0.0025455015116249407,0.01024251714973537,0.006311528383237333,0.002706678165542521,0.008600680806885893,0.0090625627832313,0.011827816626567374,0.042298990047853625,0.0032849207231653676,0.002908071699063109,0.013376339006508059
Riga,0.025809559214495376,0.01447620966797513,0.025825961919524965,0.015890821909760346,0.017815224338009784,0.021995377342854578,0.015033967210911511,0.01743778813521405,0.03365692973804374,0.01680916877138103,0.01507488451239925,0.05455599367842791
Rome,0.04662279148567355,0.0074792780167331025,0.02256556316416238,0.009177990241242216,0.01242507013759717,0.008952688561976688,0.02187835738105316,0.008204783246516219,0.2891725396904685,0.05434026665762834,0.029419860999528168,0.07488422616193585
Sevilla,0.07275627328417666,0.07349686961954019,0.2009317035485903,0.12464347184744011,0.04722116840782146,0.05621137542430148,0.004056029400668815,0.00548060979985703,0.07337599071085725,0.1068495792440525,0.06587747125827179,0.10538814463208938
Sicily,0.009192506141596786,0.0028546820531492913,0.014022768821679285,0.0029502175292222188,0.00202718071768739,0.004081253825647627,0.0036599478475074416,0.005615469567197755,0.013775370544965079,0.01048100471124232,0.006953453629615323,0.01280247842179247
Stockholm,0.017650210866397016,0.010656566178698071,0.017106498963249228,0.012508614832709783,0.0940041314274301,0.015121542561182793,0.00734134706562743,0.010122974884304234,0.030972029955719734,0.020879442440577826,0.018498968885249188,0.03997268237866688
Thessaloniki,0.033649654438378584,0.026439797783788296,0.026848288739991344,0.020915978279099818,0.019373892584953686,0.01935708549499039,0.016219126932092046,0.016007534522762948,0.04089549949869675,0.030016533006852638,0.026833209914792266,0.061885911380129686
Trentino,0.03956001988734655,0.005573328828172397,0.016401281840890618,0.006074315199599962,0.004989839466982906,0.03417402438413952,0.006496457711982586,0.008614556854444112,0.04233549001342517,0.009742808924393278,0.007210990243763118,0.06189335059461546
Valencia,0.020294735299357304,0.01102469923110712,0.07479284257898275,0.010393047741992506,0.01114185861937791,0.022222203206198513,0.009208967893012043,0.010112843560339393,0.031511456103437925,0.027127137110591056,0.039514342056009524,0.0686162037593414
Venice,0.024435843359313585,0.031568098420680694,0.015856934681491852,0.039072880519187954,0.013326022032839087,0.09099297322231537,0.013718640271915942,0.010940685342805364,0.1628969016217554,0.06455699705844002,0.030643910488386182,0.052244012771973714
Vienna,0.058206411481601834,0.016073758376257793,0.032182446934570716,0.020488305250691244,0.023768043235772755,0.021487375722610735,0.015095330900434703,0.10098916032671332,0.062222361830054716,0.03073770236244196,0.027269745763124076,0.10088080354578832
Zurich,0.007115023627374548,0.006619381554146195,0.022193819738025398,0.005976256622765864,0.022470449500813283,0.009445114706920858,0.015835783023463078,0.008557862018618514,0.047320590217391295,0.01385482467279134,0.009188932771800733,0.023991828865926264
